parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Z
pnew[0],0.5146,0.0031,0.1301,0.2606,0.4216,0.5143,0.6071,0.7612,1742,1.0027,0.08238
pnew[1],0.5027,0.0028,0.1205,0.2688,0.4168,0.5022,0.5877,0.7361,1808,1.0026,0.0872085714286
pnew[2],0.4914,0.0026,0.111,0.2775,0.4122,0.4909,0.5691,0.708,1894,1.0024,0.0920371428571
pnew[3],0.4806,0.0023,0.1019,0.2852,0.4078,0.4797,0.5512,0.6815,2007,1.0022,0.0968657142857
pnew[4],0.4704,0.002,0.0932,0.2926,0.4036,0.4693,0.5353,0.6533,2159,1.002,0.101694285714
pnew[5],0.4608,0.0017,0.085,0.2996,0.4009,0.4592,0.5199,0.6283,2366,1.0018,0.106522857143
pnew[6],0.452,0.0015,0.0775,0.3051,0.398,0.45,0.5057,0.6053,2654,1.0015,0.111351428571
pnew[7],0.4439,0.0013,0.0708,0.3108,0.3948,0.4419,0.4923,0.583,3057,1.0012,0.11618
pnew[8],0.4365,0.0011,0.0649,0.3127,0.3916,0.4346,0.4808,0.5636,3623,1.0009,0.121008571429
pnew[9],0.4299,0.0009,0.06,0.3157,0.3881,0.4286,0.4711,0.5478,4405,1.0005,0.125837142857
pnew[10],0.4241,0.0008,0.0561,0.3169,0.3845,0.423,0.4624,0.5342,5572,1.0002,0.130665714286
pnew[11],0.4191,0.0007,0.0533,0.3171,0.3815,0.4181,0.4552,0.5236,6479,1.0,0.135494285714
pnew[12],0.4148,0.0006,0.0513,0.3162,0.379,0.4139,0.4492,0.516,6841,0.9999,0.140322857143
pnew[13],0.4113,0.0006,0.0503,0.3157,0.3763,0.4105,0.4456,0.5107,6059,0.9999,0.145151428571
pnew[14],0.4086,0.0007,0.05,0.3138,0.3734,0.4081,0.4424,0.5083,5294,1.0,0.14998
pnew[15],0.4067,0.0007,0.0503,0.3115,0.3718,0.4059,0.4407,0.507,4500,1.0002,0.154808571429
pnew[16],0.4054,0.0008,0.051,0.3088,0.37,0.4048,0.4399,0.5078,3855,1.0004,0.159637142857
pnew[17],0.405,0.0009,0.052,0.3063,0.3691,0.404,0.4401,0.5086,3374,1.0006,0.164465714286
pnew[18],0.4052,0.001,0.0531,0.3047,0.3684,0.4042,0.4414,0.5112,3033,1.0008,0.169294285714
pnew[19],0.4062,0.001,0.0543,0.3028,0.3688,0.4052,0.4433,0.5149,2794,1.001,0.174122857143
pnew[20],0.4079,0.0011,0.0555,0.3018,0.37,0.4066,0.446,0.5188,2629,1.0011,0.178951428571
pnew[21],0.4104,0.0011,0.0567,0.3024,0.3717,0.4093,0.4491,0.5237,2519,1.0013,0.18378
pnew[22],0.4135,0.0012,0.0577,0.3041,0.3745,0.4128,0.453,0.529,2454,1.0014,0.188608571429
pnew[23],0.4174,0.0012,0.0586,0.305,0.3776,0.4168,0.4573,0.5338,2425,1.0014,0.193437142857
pnew[24],0.4221,0.0012,0.0594,0.3086,0.3818,0.4213,0.4622,0.5399,2429,1.0014,0.198265714286
pnew[25],0.4274,0.0012,0.06,0.3124,0.3864,0.4265,0.4679,0.5462,2467,1.0014,0.203094285714
pnew[26],0.4336,0.0012,0.0605,0.317,0.3919,0.4327,0.4739,0.5529,2540,1.0014,0.207922857143
pnew[27],0.4405,0.0012,0.0608,0.3229,0.3986,0.4398,0.4807,0.5608,2654,1.0013,0.212751428571
pnew[28],0.4481,0.0012,0.0611,0.3297,0.4059,0.4474,0.4886,0.5685,2821,1.0012,0.21758
pnew[29],0.4565,0.0011,0.0614,0.3372,0.4141,0.4559,0.4978,0.5773,3053,1.0011,0.222408571429
pnew[30],0.4657,0.0011,0.0616,0.3458,0.4234,0.4655,0.5072,0.5862,3374,1.0009,0.227237142857
pnew[31],0.4756,0.001,0.0619,0.3546,0.4331,0.4753,0.518,0.5968,3813,1.0007,0.232065714286
pnew[32],0.4864,0.0009,0.0624,0.3646,0.4438,0.4859,0.5288,0.6079,4409,1.0005,0.236894285714
pnew[33],0.4978,0.0009,0.0631,0.3757,0.4547,0.4971,0.5409,0.6211,5159,1.0003,0.241722857143
pnew[34],0.5101,0.0008,0.0642,0.3844,0.4662,0.5098,0.5543,0.6345,6015,1.0001,0.246551428571
pnew[35],0.523,0.0008,0.0657,0.3947,0.478,0.5229,0.5681,0.6501,6974,0.9999,0.25138
pnew[36],0.5366,0.0008,0.0676,0.4054,0.4902,0.5364,0.5828,0.6684,7417,0.9998,0.256208571429
pnew[37],0.5509,0.0008,0.0701,0.4162,0.5026,0.5507,0.5984,0.6861,7500,0.9997,0.261037142857
pnew[38],0.5657,0.0009,0.073,0.4252,0.5154,0.5658,0.6159,0.7076,7259,0.9997,0.265865714286
pnew[39],0.581,0.0009,0.0765,0.4333,0.5278,0.5814,0.6333,0.7295,6735,0.9998,0.270694285714
pnew[40],0.5967,0.001,0.0805,0.4412,0.5407,0.5977,0.6512,0.752,6072,0.9999,0.275522857143
pnew[41],0.6128,0.0012,0.0848,0.4464,0.5534,0.6144,0.6706,0.7751,4961,1.0,0.280351428571
pnew[42],0.6291,0.0014,0.0894,0.4529,0.5667,0.6319,0.6907,0.7976,3920,1.0002,0.28518
pnew[43],0.6455,0.0016,0.0941,0.4585,0.5798,0.65,0.7111,0.8198,3452,1.0004,0.290008571429
pnew[44],0.6619,0.0018,0.099,0.4631,0.593,0.6676,0.7314,0.8415,3095,1.0006,0.294837142857
pnew[45],0.6782,0.002,0.1038,0.4663,0.6067,0.6859,0.7525,0.8618,2822,1.0008,0.299665714286
pnew[46],0.6943,0.0021,0.1085,0.4683,0.621,0.7036,0.7737,0.8807,2611,1.001,0.304494285714
pnew[47],0.71,0.0023,0.113,0.4686,0.6349,0.7212,0.7947,0.8983,2446,1.0012,0.309322857143
pnew[48],0.7254,0.0024,0.1173,0.4678,0.6492,0.7388,0.8138,0.9141,2316,1.0013,0.314151428571
pnew[49],0.7403,0.0026,0.1213,0.4689,0.6637,0.7561,0.8327,0.9282,2212,1.0015,0.31898
